Local time,Ask,Bid,AskVolume,BidVolume
08.10.2022 00:00:31.311 GMT+0800,142.041,142.036,1.2,1.32
08.10.2022 00:00:31.362 GMT+0800,142.049,142.037,1.8,1.2
08.10.2022 00:00:31.413 GMT+0800,142.048,142.036,1.2,1.2
08.10.2022 00:00:31.615 GMT+0800,142.047,142.035,1.34,1.2
08.10.2022 00:00:31.717 GMT+0800,142.049,142.036,2.4,1.2
08.10.2022 00:00:31.818 GMT+0800,142.049,142.037,1.34,1.2
08.10.2022 00:00:31.869 GMT+0800,142.05,142.037,1.34,1.2
08.10.2022 00:00:31.971 GMT+0800,142.05100000000002,142.037,2.4,1.2
08.10.2022 00:00:32.123 GMT+0800,142.05100000000002,142.03799999999998,1.8,1.2
08.10.2022 00:00:32.289 GMT+0800,142.04600000000002,142.036,2.4,2.4
08.10.2022 00:00:32.391 GMT+0800,142.04,142.02700000000002,1.94,2.58
08.10.2022 00:00:32.493 GMT+0800,142.037,142.02700000000002,2.4,1.2
08.10.2022 00:00:32.595 GMT+0800,142.032,142.019,1.8,2.84
08.10.2022 00:00:32.697 GMT+0800,142.033,142.018,1.2,2.12
08.10.2022 00:00:32.748 GMT+0800,142.029,142.018,1.8,2.12
08.10.2022 00:00:32.799 GMT+0800,142.029,142.01600000000002,2.4,1.2
08.10.2022 00:00:32.900 GMT+0800,142.029,142.013,1.2,1.32
08.10.2022 00:00:33.002 GMT+0800,142.02700000000002,142.014,1.2,1.32
08.10.2022 00:00:33.103 GMT+0800,142.026,142.013,1.2,2.24
08.10.2022 00:00:33.154 GMT+0800,142.023,142.013,1.2,1.8
08.10.2022 00:00:33.205 GMT+0800,142.02200000000002,142.009,1.2,1.32
08.10.2022 00:00:33.307 GMT+0800,142.024,142.01,2.4,1.92
08.10.2022 00:00:33.358 GMT+0800,142.025,142.013,2.24,1.2
08.10.2022 00:00:33.561 GMT+0800,142.025,142.011,1.8,2.04
08.10.2022 00:00:33.662 GMT+0800,142.02200000000002,142.009,1.2,2.94
08.10.2022 00:00:33.713 GMT+0800,142.023,142.009,1.2,2.7
08.10.2022 00:00:33.815 GMT+0800,142.023,142.007,1.2,1.2
08.10.2022 00:00:33.967 GMT+0800,142.023,142.008,2.84,2.94
08.10.2022 00:00:34.018 GMT+0800,142.023,142.008,3.14,3.38
08.10.2022 00:00:34.158 GMT+0800,142.023,142.009,2.4,1.2
08.10.2022 00:00:34.209 GMT+0800,142.023,142.008,2.84,1.8
08.10.2022 00:00:34.310 GMT+0800,142.023,142.011,1.2,1.44
08.10.2022 00:00:34.412 GMT+0800,142.026,142.014,2.4,1.32
08.10.2022 00:00:34.514 GMT+0800,142.029,142.01500000000001,1.2,1.44
08.10.2022 00:00:34.615 GMT+0800,142.028,142.014,1.2,3.68
08.10.2022 00:00:34.767 GMT+0800,142.029,142.013,1.2,1.32
08.10.2022 00:00:35.110 GMT+0800,142.029,142.023,1.94,1.2
08.10.2022 00:00:35.161 GMT+0800,142.03,142.026,1.2,6.3
08.10.2022 00:00:35.212 GMT+0800,142.035,142.026,1.2,1.2
08.10.2022 00:00:35.263 GMT+0800,142.037,142.026,3.78,1.8
08.10.2022 00:00:35.364 GMT+0800,142.037,142.023,2.42,4.28
08.10.2022 00:00:35.466 GMT+0800,142.037,142.024,1.44,1.92
08.10.2022 00:00:35.517 GMT+0800,142.039,142.025,2.4,1.2
08.10.2022 00:00:35.618 GMT+0800,142.039,142.023,2.84,5.64
08.10.2022 00:00:35.669 GMT+0800,142.03799999999998,142.024,1.94,1.2
08.10.2022 00:00:35.822 GMT+0800,142.034,142.02100000000002,1.8,3.3
08.10.2022 00:00:35.974 GMT+0800,142.035,142.019,1.94,1.92
08.10.2022 00:00:36.025 GMT+0800,142.034,142.02200000000002,1.2,1.2
08.10.2022 00:00:36.127 GMT+0800,142.037,142.023,1.2,1.2
08.10.2022 00:00:36.178 GMT+0800,142.037,142.023,1.2,1.2
08.10.2022 00:00:36.280 GMT+0800,142.03,142.019,1.8,3.14
08.10.2022 00:00:36.382 GMT+0800,142.031,142.01700000000002,1.2,1.32
08.10.2022 00:00:36.483 GMT+0800,142.031,142.018,1.34,1.32
08.10.2022 00:00:36.635 GMT+0800,142.032,142.018,1.94,1.32
08.10.2022 00:00:36.737 GMT+0800,142.032,142.018,1.34,1.92
08.10.2022 00:00:36.949 GMT+0800,142.031,142.018,1.2,1.32
08.10.2022 00:00:37.051 GMT+0800,142.033,142.018,4.2,1.2
08.10.2022 00:00:37.525 GMT+0800,142.034,142.01700000000002,4.2,1.2
08.10.2022 00:00:37.626 GMT+0800,142.033,142.019,3.3,1.2
08.10.2022 00:00:37.778 GMT+0800,142.033,142.019,3.3,1.2
08.10.2022 00:00:37.880 GMT+0800,142.034,142.019,3.3,1.2
08.10.2022 00:00:38.097 GMT+0800,142.033,142.02100000000002,2.24,1.2
08.10.2022 00:00:38.332 GMT+0800,142.036,142.02200000000002,1.2,1.2
08.10.2022 00:00:38.434 GMT+0800,142.037,142.02200000000002,4.2,1.92
08.10.2022 00:00:38.610 GMT+0800,142.036,142.02100000000002,1.2,1.2
08.10.2022 00:00:38.661 GMT+0800,142.036,142.02100000000002,1.94,1.2
08.10.2022 00:00:38.914 GMT+0800,142.035,142.02200000000002,1.2,1.2
08.10.2022 00:00:39.015 GMT+0800,142.035,142.02100000000002,1.8,1.2
08.10.2022 00:00:39.268 GMT+0800,142.035,142.029,1.34,1.2
08.10.2022 00:00:39.320 GMT+0800,142.04,142.036,1.34,1.2
08.10.2022 00:00:39.370 GMT+0800,142.043,142.034,1.2,1.8
08.10.2022 00:00:39.473 GMT+0800,142.042,142.035,1.2,1.94
08.10.2022 00:00:39.524 GMT+0800,142.048,142.036,1.2,1.2
08.10.2022 00:00:39.757 GMT+0800,142.05,142.036,1.8,1.2
08.10.2022 00:00:39.808 GMT+0800,142.05100000000002,142.04,2.24,1.2
08.10.2022 00:00:39.860 GMT+0800,142.054,142.042,1.2,1.2
08.10.2022 00:00:39.911 GMT+0800,142.056,142.041,1.86,1.2
08.10.2022 00:00:40.012 GMT+0800,142.055,142.041,1.34,1.2
08.10.2022 00:00:40.164 GMT+0800,142.054,142.042,1.34,1.2
08.10.2022 00:00:40.266 GMT+0800,142.058,142.04500000000002,1.4,1.8
08.10.2022 00:00:40.367 GMT+0800,142.058,142.04600000000002,1.2,1.2
08.10.2022 00:00:40.671 GMT+0800,142.054,142.042,1.8,3.3
08.10.2022 00:00:40.722 GMT+0800,142.054,142.042,1.2,2.7
08.10.2022 00:00:40.824 GMT+0800,142.047,142.039,1.32,1.34
08.10.2022 00:00:40.926 GMT+0800,142.04600000000002,142.036,1.2,1.2
08.10.2022 00:00:40.977 GMT+0800,142.04600000000002,142.034,1.2,1.2
08.10.2022 00:00:41.140 GMT+0800,142.04600000000002,142.032,1.2,2.84
08.10.2022 00:00:41.292 GMT+0800,142.043,142.032,1.2,1.8
08.10.2022 00:00:41.394 GMT+0800,142.043,142.031,1.2,1.34
08.10.2022 00:00:41.783 GMT+0800,142.04500000000002,142.031,1.2,3.3
08.10.2022 00:00:41.889 GMT+0800,142.044,142.031,1.94,1.8
08.10.2022 00:00:41.940 GMT+0800,142.04500000000002,142.032,1.8,1.2
08.10.2022 00:00:42.041 GMT+0800,142.04500000000002,142.032,1.2,1.2
08.10.2022 00:00:42.244 GMT+0800,142.04600000000002,142.033,1.2,1.92
08.10.2022 00:00:42.346 GMT+0800,142.048,142.033,1.2,1.2
08.10.2022 00:00:42.447 GMT+0800,142.048,142.032,1.2,1.2
08.10.2022 00:00:42.549 GMT+0800,142.042,142.031,2.24,1.34
08.10.2022 00:00:42.650 GMT+0800,142.042,142.02700000000002,2.84,3.56
08.10.2022 00:00:42.802 GMT+0800,142.041,142.02700000000002,1.2,1.92
08.10.2022 00:00:43.159 GMT+0800,142.04,142.025,1.2,3.84
08.10.2022 00:00:43.260 GMT+0800,142.04,142.025,1.2,2.04
08.10.2022 00:00:43.362 GMT+0800,142.039,142.033,1.2,1.2
08.10.2022 00:00:43.464 GMT+0800,142.047,142.035,1.44,4.64
08.10.2022 00:00:43.515 GMT+0800,142.047,142.035,2.04,5.4
